airline,origin,dest,month,day_of_week,sched_dep_hour,distance,is_weekend,is_peak_hour,is_holiday_season,temperature_f,wind_speed_mph,precipitation_in,visibility_miles,origin_congestion_index,dest_congestion_index,delay_minutes,delayed
B6,ATL,SEA,6,3,20,406,0,0,0,24.9,3.5,0.056,8.15,0.8,0.5,0,0
UA,SFO,LAX,3,6,19,1745,1,0,0,80.3,13.6,0.007,9.63,0.8,0.75,0,0
DL,DFW,SFO,10,4,11,363,0,0,0,57.2,7.9,0.017,9.87,0.7,0.8,0,0
B6,MCO,SFO,12,5,11,2522,1,0,1,40.8,7.7,0.024,10.0,0.6,0.8,0,0
AS,DEN,DFW,9,6,12,585,1,0,0,38.9,12.7,0.045,9.19,0.6,0.7,0,0
B6,LAS,DFW,8,0,19,679,0,0,0,61.2,11.4,0.053,6.11,0.55,0.7,0,0
AA,JFK,SFO,2,1,7,1255,0,1,0,67.4,2.1,0.276,7.91,0.9,0.8,92,1
WN,SFO,DEN,12,1,9,1180,0,0,1,27.0,5.6,0.003,9.88,0.8,0.6,0,0
AS,ORD,SFO,10,6,16,1182,1,1,0,68.2,6.7,0.005,8.29,0.85,0.8,0,0
DL,LAX,SEA,11,3,21,565,0,0,1,68.0,14.7,0.014,8.17,0.75,0.5,0,0
UA,MCO,ATL,2,2,22,1079,0,0,0,33.7,10.5,0.058,8.07,0.6,0.8,0,0
UA,MCO,SFO,1,0,13,2366,0,0,0,65.1,1.8,0.016,9.35,0.6,0.8,0,0
WN,ATL,SEA,9,4,12,940,0,0,0,88.8,8.8,0.005,9.3,0.8,0.5,0,0
UA,SFO,ORD,8,1,17,448,0,1,0,38.6,6.8,0.06,8.0,0.8,0.85,0,0
DL,DFW,ATL,12,2,13,1321,0,0,1,65.1,26.0,0.015,9.67,0.7,0.8,61,1
AS,SEA,LAX,11,3,10,251,0,0,1,79.2,11.9,0.026,7.01,0.5,0.75,0,0
DL,ORD,DEN,8,5,18,2453,1,1,0,77.7,7.5,0.039,7.07,0.85,0.6,25,1
UA,SEA,MCO,3,6,16,898,1,1,0,57.2,10.8,0.059,9.51,0.5,0.6,0,0
DL,MCO,LAS,11,0,18,2229,0,1,1,57.9,12.6,0.048,9.15,0.6,0.55,69,1
UA,LAS,DEN,1,6,22,778,1,0,0,79.7,24.2,0.03,8.16,0.55,0.6,0,0
UA,ATL,DFW,4,6,18,969,1,1,0,59.9,9.2,0.0,10.0,0.8,0.7,0,0
AA,MCO,LAS,4,3,21,1866,0,0,0,38.1,5.6,0.069,10.0,0.6,0.55,0,0
AS,LAX,ORD,12,0,12,2535,0,0,1,68.0,16.5,0.06,8.42,0.75,0.85,61,1
AA,DEN,LAS,9,0,18,1205,0,1,0,105.3,19.4,0.057,8.2,0.6,0.55,0,0
B6,LAS,ATL,2,2,19,801,0,0,0,11.3,11.9,0.129,7.4,0.55,0.8,0,0
NK,SEA,MCO,4,3,14,794,0,0,0,36.8,4.5,0.068,10.0,0.5,0.6,0,0
DL,DEN,ORD,10,2,10,2416,0,0,0,74.0,12.2,0.048,8.52,0.6,0.85,41,1
AA,ORD,LAS,6,4,14,1833,0,0,0,62.8,11.8,0.007,8.96,0.85,0.55,46,1
F9,SFO,JFK,5,1,5,216,0,0,0,64.7,4.4,0.039,9.28,0.8,0.9,95,1
F9,DEN,DFW,4,5,15,2070,1,0,0,60.9,8.5,0.008,8.51,0.6,0.7,0,0
NK,LAS,LAX,5,4,16,799,0,1,0,53.3,1.2,0.017,10.0,0.55,0.75,0,0
UA,DFW,SEA,6,2,8,1845,0,1,0,54.0,16.5,0.016,10.0,0.7,0.5,0,0
WN,MCO,SEA,8,1,19,1527,0,0,0,61.2,6.5,0.052,6.62,0.6,0.5,0,0
DL,JFK,MCO,12,4,16,428,0,1,1,82.8,17.8,0.081,8.48,0.9,0.6,0,0
WN,LAX,SFO,10,6,19,2435,1,0,0,60.6,3.9,0.002,9.55,0.75,0.8,0,0
WN,MCO,LAX,9,3,18,2033,0,1,0,67.5,18.1,0.063,7.62,0.6,0.75,132,1
F9,SEA,DEN,10,1,17,1953,0,1,0,64.2,11.2,0.021,7.34,0.5,0.6,66,1
WN,DEN,JFK,9,2,7,1951,0,1,0,46.6,5.9,0.087,10.0,0.6,0.9,0,0
NK,ATL,SEA,12,2,7,850,0,1,1,46.3,0.0,0.062,7.87,0.8,0.5,0,0
NK,LAS,SFO,6,2,22,1300,0,0,0,45.7,12.2,0.014,9.43,0.55,0.8,0,0
B6,ATL,LAS,4,5,20,303,1,0,0,62.5,13.8,0.038,9.76,0.8,0.55,58,1
F9,ORD,ATL,4,4,21,286,0,0,0,57.9,14.1,0.039,6.47,0.85,0.8,0,0
B6,DFW,ATL,10,6,21,488,1,0,0,79.6,16.6,0.003,7.6,0.7,0.8,0,0
NK,SEA,ATL,6,1,19,1963,0,0,0,44.0,8.2,0.008,10.0,0.5,0.8,19,1
WN,DFW,LAS,9,2,8,1090,0,1,0,50.4,4.7,0.071,9.41,0.7,0.55,0,0
DL,ATL,JFK,3,6,14,923,1,0,0,33.4,16.9,0.023,10.0,0.8,0.9,0,0
F9,SFO,DEN,6,0,7,2536,0,1,0,62.9,15.4,0.015,9.53,0.8,0.6,24,1
AS,ORD,MCO,8,2,21,286,0,0,0,54.7,19.7,0.003,7.25,0.85,0.6,0,0
AS,JFK,SFO,8,4,10,791,0,0,0,79.1,4.3,0.025,10.0,0.9,0.8,0,0
F9,SEA,JFK,2,6,20,1408,1,0,0,46.9,7.9,0.028,7.33,0.5,0.9,0,0
AA,LAS,ATL,4,3,11,1370,0,0,0,76.8,0.8,0.001,5.41,0.55,0.8,0,0
DL,ORD,SEA,3,4,17,487,0,1,0,6.6,8.0,0.019,9.74,0.85,0.5,0,0
UA,MCO,JFK,1,4,8,2015,0,1,0,62.0,8.5,0.013,10.0,0.6,0.9,0,0
F9,JFK,LAS,8,0,14,1275,0,0,0,52.0,17.3,0.039,9.27,0.9,0.55,22,1
B6,MCO,ATL,3,1,10,666,0,0,0,80.7,0.0,0.008,5.92,0.6,0.8,0,0
B6,LAX,SFO,5,4,19,2030,0,0,0,63.7,5.0,0.027,10.0,0.75,0.8,0,0
B6,JFK,SEA,11,2,14,1234,0,0,1,46.4,5.3,0.023,7.29,0.9,0.5,0,0
B6,MCO,JFK,5,1,5,1013,0,0,0,73.3,9.2,0.166,9.16,0.6,0.9,0,0
WN,JFK,ATL,4,1,17,1461,0,1,0,33.8,16.7,0.058,8.25,0.9,0.8,18,1
NK,SFO,LAX,1,0,14,1957,0,0,0,28.8,7.6,0.096,10.0,0.8,0.75,0,0
F9,LAS,SFO,9,4,11,211,0,0,0,36.9,7.9,0.042,10.0,0.55,0.8,0,0
WN,ORD,DEN,1,5,16,403,1,1,0,38.7,8.9,0.143,9.66,0.85,0.6,76,1
NK,MCO,SFO,9,4,18,219,0,1,0,36.9,13.6,0.0,10.0,0.6,0.8,61,1
AA,LAS,LAX,10,2,17,2349,0,1,0,84.5,4.8,0.056,10.0,0.55,0.75,15,1
AS,ORD,DEN,11,6,8,1830,1,1,1,69.4,2.8,0.066,10.0,0.85,0.6,46,1
F9,ATL,DFW,11,4,18,1628,0,1,1,63.0,8.9,0.026,8.56,0.8,0.7,76,1
F9,DEN,JFK,8,6,11,1279,1,0,0,29.5,9.9,0.057,8.1,0.6,0.9,15,1
AS,LAX,DFW,12,5,8,1617,1,1,1,54.9,8.4,0.009,10.0,0.75,0.7,0,0
AA,ATL,DEN,7,1,19,1604,0,0,0,74.7,13.1,0.031,7.94,0.8,0.6,87,1
B6,SEA,DEN,4,6,19,1430,1,0,0,55.6,14.8,0.295,6.11,0.5,0.6,28,1
AA,SEA,DFW,1,5,7,1725,1,1,0,68.9,6.7,0.025,9.88,0.5,0.7,0,0
AA,DEN,ORD,4,0,12,2270,0,0,0,59.8,8.9,0.028,6.05,0.6,0.85,0,0
AS,LAX,LAS,4,1,10,1633,0,0,0,33.1,5.4,0.029,9.36,0.75,0.55,18,1
DL,DFW,ORD,8,0,10,531,0,0,0,65.0,10.8,0.003,10.0,0.7,0.85,0,0
AA,LAX,DFW,7,1,15,1849,0,0,0,61.8,14.7,0.029,9.78,0.75,0.7,0,0
UA,LAS,DFW,3,6,15,1290,1,0,0,96.9,20.8,0.029,7.2,0.55,0.7,0,0
UA,ORD,SFO,3,3,12,1725,0,0,0,71.5,12.9,0.014,9.08,0.85,0.8,0,0
B6,DEN,LAS,4,5,19,961,1,0,0,64.6,16.8,0.002,9.36,0.6,0.55,52,1
F9,DFW,ATL,1,3,22,1586,0,0,0,50.2,14.6,0.08,8.23,0.7,0.8,27,1
UA,JFK,ORD,5,4,22,2206,0,0,0,57.8,15.0,0.003,10.0,0.9,0.85,0,0
AS,ORD,JFK,5,5,17,1478,1,1,0,79.8,9.3,0.057,8.14,0.85,0.9,31,1
WN,SEA,DEN,12,0,18,2335,0,1,1,42.8,14.6,0.008,6.91,0.5,0.6,17,1
B6,LAS,SFO,11,4,11,1191,0,0,1,81.9,0.0,0.064,10.0,0.55,0.8,0,0
NK,JFK,SEA,11,5,14,439,1,0,1,85.7,21.1,0.002,10.0,0.9,0.5,0,0
B6,MCO,SEA,5,4,10,1035,0,0,0,75.3,6.5,0.025,8.22,0.6,0.5,0,0
WN,SFO,DEN,5,2,18,514,0,1,0,66.1,12.1,0.036,10.0,0.8,0.6,48,1
WN,DEN,DFW,3,6,8,1349,1,1,0,49.5,10.7,0.0,7.18,0.6,0.7,0,0
WN,JFK,SEA,11,0,9,805,0,0,1,56.0,10.4,0.097,8.92,0.9,0.5,0,0
AS,DEN,MCO,1,2,7,2459,0,1,0,42.2,0.0,0.039,7.31,0.6,0.6,52,1
NK,DEN,ATL,5,4,14,1964,0,0,0,68.6,2.3,0.031,9.03,0.6,0.8,0,0
WN,SFO,MCO,2,1,21,1944,0,0,0,51.3,6.0,0.008,9.68,0.8,0.6,0,0
B6,ORD,LAS,2,5,15,2298,1,0,0,32.7,16.4,0.039,5.42,0.85,0.55,0,0
AA,ATL,LAS,10,2,14,877,0,0,0,56.9,12.1,0.037,8.95,0.8,0.55,0,0
WN,LAX,ATL,11,6,7,592,1,1,1,70.6,4.7,0.018,10.0,0.75,0.8,0,0
F9,ATL,DEN,8,0,13,2530,0,0,0,53.6,11.7,0.063,5.58,0.8,0.6,0,0
UA,LAX,SEA,7,0,21,1021,0,0,0,51.3,21.2,0.018,9.65,0.75,0.5,0,0
UA,JFK,DEN,8,5,5,1526,1,0,0,55.4,6.3,0.02,8.96,0.9,0.6,0,0
WN,MCO,LAX,2,6,16,965,1,1,0,31.3,20.2,0.026,6.32,0.6,0.75,0,0
AS,JFK,DEN,3,0,17,2566,0,1,0,71.4,3.3,0.134,7.78,0.9,0.6,134,1
B6,LAS,SFO,5,2,21,1548,0,0,0,73.8,10.6,0.098,9.99,0.55,0.8,0,0
WN,SFO,DEN,6,1,7,2185,0,1,0,72.1,8.1,0.092,9.22,0.8,0.6,34,1
DL,ATL,SEA,11,4,8,510,0,1,1,55.1,9.1,0.043,9.4,0.8,0.5,78,1
AS,SEA,MCO,8,5,9,938,1,0,0,78.8,15.9,0.045,7.87,0.5,0.6,0,0
F9,SFO,SEA,12,4,11,1265,0,0,1,64.5,17.4,0.04,10.0,0.8,0.5,0,0
NK,LAS,DEN,3,2,21,2490,0,0,0,42.8,13.4,0.075,8.26,0.55,0.6,0,0
WN,MCO,JFK,9,1,15,1747,0,0,0,67.4,10.6,0.064,8.4,0.6,0.9,0,0
AS,DFW,LAS,3,2,5,294,0,0,0,68.2,18.9,0.022,8.53,0.7,0.55,0,0
F9,DEN,JFK,4,1,22,569,0,0,0,83.7,24.0,0.027,10.0,0.6,0.9,69,1
DL,LAX,LAS,8,3,7,1906,0,1,0,71.8,8.6,0.017,8.93,0.75,0.55,0,0
F9,LAS,ATL,1,6,5,1439,1,0,0,78.4,16.2,0.053,10.0,0.55,0.8,0,0
UA,DFW,ATL,9,5,11,976,1,0,0,35.6,6.0,0.045,10.0,0.7,0.8,0,0
WN,SEA,ORD,3,6,9,545,1,0,0,61.4,17.2,0.005,9.61,0.5,0.85,50,1
AA,LAS,SFO,1,2,16,1992,0,1,0,48.2,11.4,0.263,6.07,0.55,0.8,0,0
AA,LAS,ATL,6,2,14,1970,0,0,0,61.1,10.2,0.033,8.84,0.55,0.8,0,0
B6,LAX,ORD,3,4,18,2508,0,1,0,68.5,8.9,0.016,10.0,0.75,0.85,0,0
DL,ORD,LAS,12,4,8,1276,0,1,1,52.0,13.0,0.164,3.77,0.85,0.55,40,1
AA,DFW,SEA,7,5,14,1121,1,0,0,92.4,7.9,0.008,6.89,0.7,0.5,0,0
WN,LAS,DFW,4,5,6,2183,1,0,0,46.3,10.7,0.022,9.64,0.55,0.7,0,0
NK,SFO,SEA,1,2,5,222,0,0,0,44.3,15.4,0.028,8.61,0.8,0.5,0,0
F9,DFW,LAS,6,0,11,716,0,0,0,95.3,3.9,0.069,10.0,0.7,0.55,0,0
AS,ORD,LAX,3,0,7,1763,0,1,0,47.9,7.1,0.002,10.0,0.85,0.75,0,0
DL,LAS,DEN,10,6,5,2431,1,0,0,12.3,3.1,0.024,4.83,0.55,0.6,0,0
AA,MCO,SFO,10,4,14,543,0,0,0,43.8,12.6,0.038,7.77,0.6,0.8,0,0
DL,MCO,LAS,10,6,10,1396,1,0,0,61.6,11.6,0.053,8.78,0.6,0.55,138,1
AS,ATL,SFO,5,4,12,1255,0,0,0,61.2,7.9,0.048,8.45,0.8,0.8,0,0
AS,LAX,MCO,5,3,10,1781,0,0,0,46.9,6.9,0.039,8.74,0.75,0.6,100,1
NK,LAS,ORD,7,5,18,1477,1,1,0,45.0,13.3,0.004,10.0,0.55,0.85,0,0
WN,DFW,LAS,2,6,21,1589,1,0,0,50.4,9.1,0.021,9.55,0.7,0.55,0,0
DL,ORD,LAS,6,1,13,1285,0,0,0,64.5,3.4,0.022,10.0,0.85,0.55,0,0
DL,ATL,SEA,6,5,7,1391,1,1,0,64.6,14.2,0.218,6.72,0.8,0.5,56,1
WN,ORD,ATL,10,3,13,786,0,0,0,15.3,5.0,0.022,3.89,0.85,0.8,88,1
UA,JFK,ATL,9,2,18,2298,0,1,0,56.3,11.9,0.047,10.0,0.9,0.8,0,0
NK,ORD,LAX,8,0,5,1594,0,0,0,65.3,2.1,0.022,10.0,0.85,0.75,0,0
F9,LAX,JFK,3,2,9,2141,0,0,0,93.5,13.6,0.037,10.0,0.75,0.9,0,0
UA,ORD,LAX,1,1,14,1086,0,0,0,91.6,15.1,0.051,10.0,0.85,0.75,76,1
AA,MCO,LAS,4,0,5,2203,0,0,0,68.4,8.1,0.054,7.99,0.6,0.55,0,0
DL,MCO,ATL,12,2,10,2099,0,0,1,56.8,5.7,0.009,10.0,0.6,0.8,0,0
F9,ORD,DFW,8,5,11,2464,1,0,0,59.6,11.8,0.067,8.99,0.85,0.7,0,0
NK,LAX,SEA,6,3,13,2270,0,0,0,28.5,10.5,0.011,6.99,0.75,0.5,0,0
F9,DEN,ORD,11,4,6,284,0,0,1,68.3,0.7,0.147,9.35,0.6,0.85,0,0
AA,LAS,MCO,3,3,5,1052,0,0,0,51.2,7.8,0.027,9.33,0.55,0.6,0,0
DL,ORD,LAS,7,5,20,1682,1,0,0,31.8,16.3,0.027,7.33,0.85,0.55,98,1
AA,DEN,SEA,7,2,8,1679,0,1,0,63.3,5.4,0.033,10.0,0.6,0.5,40,1
AA,DEN,LAS,8,3,14,1446,0,0,0,58.5,7.8,0.106,10.0,0.6,0.55,15,1
AS,SEA,JFK,1,4,22,241,0,0,0,44.5,9.1,0.007,9.88,0.5,0.9,0,0
WN,LAX,MCO,6,4,8,2254,0,1,0,61.6,18.9,0.077,10.0,0.75,0.6,71,1
AA,DEN,JFK,9,3,13,1477,0,0,0,28.2,10.5,0.009,8.93,0.6,0.9,0,0
UA,DFW,SEA,7,0,6,2494,0,0,0,53.0,18.5,0.004,10.0,0.7,0.5,0,0
NK,ORD,SEA,3,5,11,2090,1,0,0,65.9,12.0,0.019,8.86,0.85,0.5,0,0
AA,LAX,ORD,6,3,9,2077,0,0,0,39.3,13.6,0.093,7.52,0.75,0.85,65,1
B6,DEN,LAX,3,6,18,619,1,1,0,62.4,11.4,0.055,10.0,0.6,0.75,59,1
WN,DEN,LAX,8,4,5,2281,0,0,0,37.2,0.0,0.089,8.21,0.6,0.75,0,0
B6,SEA,ATL,1,4,13,1324,0,0,0,60.0,15.0,0.098,6.41,0.5,0.8,86,1
F9,LAX,SEA,9,6,7,2335,1,1,0,75.1,11.2,0.014,10.0,0.75,0.5,25,1
DL,DFW,ORD,3,5,6,1710,1,0,0,53.4,3.4,0.043,7.47,0.7,0.85,0,0
UA,MCO,LAS,12,6,18,536,1,1,1,35.3,5.5,0.027,7.72,0.6,0.55,84,1
NK,SFO,DFW,10,4,18,1589,0,1,0,33.8,3.7,0.0,10.0,0.8,0.7,111,1
NK,DEN,SEA,10,0,7,1148,0,1,0,30.8,0.0,0.015,7.15,0.6,0.5,0,0
AS,SEA,LAS,8,5,17,522,1,1,0,68.1,11.6,0.041,8.69,0.5,0.55,0,0
DL,MCO,ORD,3,1,12,1313,0,0,0,69.1,12.1,0.087,7.87,0.6,0.85,50,1
AS,ATL,MCO,5,6,9,1166,1,0,0,65.8,6.2,0.003,9.07,0.8,0.6,0,0
F9,LAS,DEN,8,5,9,2236,1,0,0,88.6,11.9,0.1,6.31,0.55,0.6,0,0
